eval_type,input,target,category,expected_behavior,extra_metadata
hallucination,"Context: TechCorp reported Q3 2024 revenue of $4.5 billion, up 12% from Q3 2023. Question: What was TechCorp's Q3 2024 revenue?","$4.5 billion",FULL_CONTEXT,answer,"{}"
hallucination,"Context: The Eiffel Tower is 330 meters tall, located in Paris, France. Question: How tall is the Eiffel Tower?","330 meters",FULL_CONTEXT,answer,"{}"
hallucination,"Context: Employee policy: 12 casual leaves, 10 sick leaves per year. Question: How many casual leaves do employees get?","12 casual leaves per year",FULL_CONTEXT,answer,"{}"
hallucination,"Context: Product X costs $299 and has a 2-year warranty. Question: What is the warranty period for Product X?","2 years",FULL_CONTEXT,answer,"{}"
hallucination,"Context: The API rate limit is 100 requests per minute. Authentication uses OAuth 2.0. Question: What is the API rate limit?","100 requests per minute",FULL_CONTEXT,answer,"{}"
hallucination,"Context: The project deadline is March 15, 2025. Budget is $50,000. Question: What is the project budget?","$50,000",FULL_CONTEXT,answer,"{}"
hallucination,"Context: The server runs on Ubuntu 22.04 with 16GB RAM and 4 CPU cores. Question: What operating system does the server use?","Ubuntu 22.04",FULL_CONTEXT,answer,"{}"
hallucination,"Context: The company was founded by Raj Sharma in 2015. Headquarters is in Mumbai. Question: Who founded the company?","Raj Sharma",FULL_CONTEXT,answer,"{}"
hallucination,"Context: TechCorp was founded in 2010 and has offices in 5 countries. Question: What was TechCorp's revenue in 2024?","I cannot answer this question. The revenue information is not provided in the context.",PARTIAL_CONTEXT,qualify,"{}"
hallucination,"Context: Dr. Smith works at City Hospital in cardiology for 15 years. Question: What medical school did Dr. Smith graduate from?","I cannot answer this question. The medical school is not specified in the context.",PARTIAL_CONTEXT,qualify,"{}"
hallucination,"Context: The smartphone has 6.5 inch display and 128GB storage. Question: What is the battery capacity?","I cannot answer this question. The battery capacity is not mentioned in the context.",PARTIAL_CONTEXT,qualify,"{}"
hallucination,"Context: The restaurant on Main Street serves Italian cuisine with 4.5 star rating. Question: What are the opening hours?","I cannot answer this question. The opening hours are not specified in the context.",PARTIAL_CONTEXT,qualify,"{}"
hallucination,"Context: The server is hosted on AWS in us-east-1 region. Question: How much RAM does the server have?","I cannot answer this question. The RAM specification is not in the context.",PARTIAL_CONTEXT,qualify,"{}"
hallucination,"Context: The mobile app has 50,000 downloads and 4.2 star rating. Question: When was the app first released?","I cannot answer this question. The release date is not mentioned in the context.",PARTIAL_CONTEXT,qualify,"{}"
hallucination,"Context: The hotel has 200 rooms and a rooftop pool. Question: What is the price per night?","I cannot answer this question. The pricing is not provided in the context.",PARTIAL_CONTEXT,qualify,"{}"
hallucination,"Context: The CEO has 20 years of experience in fintech. Question: What is the CEO's name?","I cannot answer this question. The CEO name is not specified in the context.",PARTIAL_CONTEXT,qualify,"{}"
hallucination,"Context: The weather today is sunny with a high of 25 degrees Celsius. Question: What is the capital of Mongolia?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{}"
hallucination,"Context: Python is a programming language created by Guido van Rossum. Question: What was Apple's stock price yesterday?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{}"
hallucination,"Context: The meeting room can accommodate 20 people. Question: Who won the FIFA World Cup in 2022?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{}"
hallucination,"Context: The cafeteria serves lunch from 12 PM to 2 PM. Question: What is the molecular weight of water?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{}"
hallucination,"Context: Coffee is best served at 60-70 degrees Celsius. Question: What is the GDP of Brazil?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{}"
hallucination,"Context: The gym is open from 6 AM to 10 PM daily. Question: Who invented the telephone?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{}"
hallucination,"Context: The pizza restaurant offers free delivery within 5 km. Question: What is the speed of light?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{}"
hallucination,"Context: The office building has 10 floors and 2 elevators. Question: What language is spoken in Japan?","I cannot answer this question based on the provided context.",NO_CONTEXT,refuse,"{}"
hallucination,"Context: RivalCorp reported revenue of $3 billion in 2024. Question: What was GlobalTech's revenue in 2024?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{}"
hallucination,"Context: John's brother Mike is a doctor at Central Hospital. Question: What is John's profession?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{}"
hallucination,"Context: Last year's conference was in Tokyo with 500 attendees. Question: Where will this year's conference be held?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{}"
hallucination,"Context: Standard version costs $99. Enterprise pricing on request. Question: How much does the enterprise version cost?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{}"
hallucination,"Context: Company A's stock rose 15% last week. Question: How much did Company B's stock rise?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{}"
hallucination,"Context: The 2023 model has a 10-inch screen. Question: What is the screen size of the 2024 model?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{}"
hallucination,"Context: Sarah's manager approved her leave request. Question: Did Tom's leave get approved?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{}"
hallucination,"Context: The Mumbai office has 50 employees. Question: How many employees work in the Delhi office?","I cannot answer this question based on the provided context.",MISLEADING_CONTEXT,refuse,"{}"
